Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Britton,49229,83919.00,44,43.5,47.4,,
Brooklyn,49230,58526.00,45.1,48.6,41.8,,
Camden,49232,59094.00,45.6,46.4,44,,
Cement City,49233,63584.00,43,42.4,44.7,,
Clarklake,49234,49122.00,45,44.5,46,,
Clayton,49235,43182.00,70.4,70.5,70.3,,
Clinton,49236,102500.00,65.9,66.9,65.4,,
Concord,49237,64727.00,57.2,55,59.9,,
Deerfield,49238,58125.00,41.8,41.5,44.1,,
Grass Lake,49240,55905.00,42.6,40.9,44,,
Hanover,49241,71920.00,54.1,44.7,54.8,,
Hillsdale,49242,57552.00,38.7,33.4,40.3,,
Homer,49245,82300.00,42.8,42.9,42.8,,
Horton,49246,63255.00,48.4,49.1,47.7,,
Hudson,49247,94597.00,60.1,57.2,66,,
Jasper,49248,74886.00,53.2,55.6,47,,
Jerome,49249,65284.00,41.3,40.2,42.9,,
Jonesville,49250,37906.00,37.7,38.6,37.1,,
Leslie,49251,50073.00,39.1,36,43,,
Litchfield,49252,66167.00,40.8,39.6,44.9,,
Manitou Beach,49253,52120.00,39.2,37.2,42.3,,
Michigan Center,49254,47523.00,32.5,29.9,33.8,,
Montgomery,49255,52361.00,45.5,47.2,44.8,,
Morenci,49256,63202.00,40,36.7,41.3,,
Munith,49259,81053.00,45.2,44.4,46.5,,
North Adams,49262,75478.00,53.7,51.8,54.5,,
Norvell,49263,51339.00,41,41.1,41,,
Onondaga,49264,72381.00,49.5,49.8,48.8,,
Onsted,49265,87130.00,51.8,51.8,50.9,,
Osseo,49266,58523.00,44.8,45.7,43.4,,
Ottawa Lake,49267,69694.00,43.3,39.5,45.2,,
Palmyra,49268,59519.00,42.2,40.9,42.6,,
Parma,49269,70481.00,33.4,40.3,29.2,,
Petersburg,49270,91000.00,46.2,42.5,49.3,,
Pittsford,49271,78250.00,50.3,55.5,46,,
Pleasant Lake,49272,52198.00,38.7,35.6,40.3,,
Reading,49274,53814.00,35.6,38.5,34.3,,
Riga,49276,67426.00,41.4,40.3,42.9,,
Rives Junction,49277,54852.00,41.2,39.5,47,,
Sand Creek,49279,63274.00,46.6,47.1,46.2,,
Somerset,49281,69890.00,48.9,45.7,53.1,,
Somerset Center,49282,54457.00,39.1,40.1,38.3,,
Spring Arbor,49283,78403.00,41.1,41.2,41,,
Springport,49284,47601.00,43.8,37.3,47.3,,
Stockbridge,49285,71414.00,55,52.5,57.7,,
Tecumseh,49286,63200.00,44.4,47.6,44.2,,
Tipton,49287,46250.00,31.6,28.3,32.4,,
Waldron,49288,45813.00,44,39.7,45.9,,
Weston,49289,63185.28,44.5,43.7,45.2,,
Ada,49301,50987.00,45.4,44,47.3,,
Alto,49302,63185.28,28.6,28.3,43.3,,
Bailey,49303,42500.00,46.6,40.6,50.6,,
Baldwin,49304,63185.28,47.5,43.7,48,,
Barryton,49305,74375.00,41.1,41.2,39.5,,
Belmont,49306,70078.00,48.3,47.7,49.1,,
Big Rapids,49307,55780.00,54.4,57.2,53.4,,
Bitely,49309,85548.00,49.2,47.6,51.5,,
Blanchard,49310,68611.00,40.7,43.3,37.6,,
Brohman,49312,68131.00,40.1,40.5,39.9,,
Byron Center,49315,79803.00,47.1,46.7,47.8,,
Dutton,49316,49688.00,39.5,37.9,41.3,,
Casnovia,49318,65913.00,40.9,41.4,40.8,,
Cedar Springs,49319,50735.00,39.6,41.4,38.6,,
Comstock Park,49321,66000.00,48.6,47.1,51.8,,
Coral,49322,74815.00,42.5,44.4,42.1,,
Dorr,49323,62250.00,48.9,52.8,44,,
Freeport,49325,60833.00,64.5,43.7,64.3,,
Gowen,49326,75083.00,29.6,38.5,22.4,,
Grant,49327,59519.00,42.6,42,44.4,,
Hopkins,49328,62401.00,49.2,45.8,50.8,,
Howard City,49329,68099.00,40.5,40.9,40.3,,
Kent City,49330,77684.00,54.6,56.3,49.9,,
Lowell,49331,58162.00,37.3,36.8,37.5,,
Mecosta,49332,64063.00,39.5,39.5,47.5,,
Middleville,49333,149356.00,41,41.4,40.1,,
Moline,49335,104405.00,37,33.8,39.8,,
Morley,49336,71750.00,31.5,31,31.8,,
Newaygo,49337,31123.00,54.5,47.7,59.3,,
Paris,49338,39974.00,52.5,51.1,53.5,,
Pierson,49339,93422.00,41.5,38.8,45.5,,
Remus,49340,43926.00,26.2,24.9,28.9,,
Rockford,49341,38542.00,54.4,54.2,54.8,,
Rodney,49342,54595.00,37.8,34.4,39.8,,
Sand Lake,49343,33125.00,48.8,43.3,53.2,,
Shelbyville,49344,92533.00,40.2,40.1,40.4,,
Sparta,49345,95423.00,39.7,38.4,41,,
Stanwood,49346,63281.00,44.8,44.7,47.5,,
Trufant,49347,70770.00,41.1,39.9,41.8,,
Wayland,49348,68214.00,27.7,25.9,47.5,,
White Cloud,49349,60487.00,39,36.6,40.1,,
Allendale,49401,51250.00,46.1,46.3,44.8,,
Branch,49402,83560.00,36.2,36.9,35.2,,
Conklin,49403,75625.00,33.1,33.9,32.3,,
Coopersville,49404,65580.00,40.2,40.3,39.8,,
Custer,49405,60689.00,39.6,39,40.3,,
Douglas,49406,76528.00,41.5,42.7,41.3,,
Fennville,49408,62857.00,37,36.2,37.9,,
Fountain,49410,69718.00,33.7,34.2,32.7,,
Free Soil,49411,87987.00,38.6,38.3,39.3,,
Fremont,49412,54439.00,53.2,50.5,54.7,,
Fruitport,49415,85821.00,37.3,37.1,37.5,,
Grand Haven,49417,63185.28,18.1,43.7,15.7,,
Grandville,49418,48043.00,45,44.6,45.5,,
Hamilton,49419,54500.00,45.4,42.1,48.6,,
Hart,49420,51458.00,43.5,45.3,42,,
Hesperia,49421,62269.00,43.5,43,43.5,,
Holland,49423,51125.00,45.8,44.7,47.1,,
Holland,49424,101037.00,39.3,38.1,40.5,,
Holton,49425,47434.00,44,45.3,43.9,,
Hudsonville,49426,72350.00,44.4,47.4,38.9,,
Jenison,49428,77054.00,47.1,47.4,45.9,,
Ludington,49431,77599.00,38.5,37.2,39.9,,
Macatawa,49434,63000.00,54.1,52.7,55.3,,
Marne,49435,69821.00,42.6,47.1,39.8,,
Mears,49436,70601.00,37.3,37.7,36.8,,
Montague,49437,47527.00,45.4,43.9,45.7,,
Muskegon,49440,66441.00,21.5,22.1,21.3,,
Muskegon,49441,43850.00,54.2,55.1,53.5,,
Muskegon,49442,77500.00,39.4,40.6,39,,
Muskegon Heights,49444,75912.00,35.1,30.7,36.9,,
North Muskegon,49445,54671.00,40.3,40.6,39.8,,
New Era,49446,86750.00,57,61.8,55.7,,
Nunica,49448,63739.00,43.8,43.7,44,,
Pentwater,49449,63185.28,40.6,26.6,41.8,,
Pullman,49450,45179.00,43.2,44.8,41.4,,
Ravenna,49451,54250.00,54.4,54.6,54.3,,
Rothbury,49452,55074.00,39.2,39.2,39.1,,
Saugatuck,49453,73803.00,45.5,44.3,47.8,,
Scottville,49454,74106.00,40.8,40.7,40.9,,
Shelby,49455,74637.00,38.1,36.1,40.7,,
Spring Lake,49456,85261.00,37.5,36.7,37.9,,
